"","fid","Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000.01_NA","2000.01_em","2000.01_sb","2001.09_NA","2001.09_em","2001.09_sb","2002.02_NA","2002.02_em","2002.02_sb","2003.07_em","2003.07_sb","2004.05_NA","2004.05_em","2004.05_sb","2005.07_NA","2005.07_em","2005.07_sb","2006.07_em","2006.07_sb","2007.04_NA","2007.04_em","2007.04_sb","2008.03_em","2008.03_sb","2009.05_NA","2009.05_em","2009.05_sb","2010.06_NA","2010.06_em","2010.06_sb","2011.09_NA","2011.09_em","2011.09_sb","2013.08_em","2013.08_sb","2014.04_NA","2014.04_em","2014.04_sb","2015.05_NA","2015.05_em","2015.05_sb","2016.03_NA","2016.03_em","2016.03_sb","2017.04_NA","2017.04_em","2017.04_sb","2018.12_em","2018.12_sb","2019.06_em","2019.06_sb","2020.04_em","2020.04_sb","2021.11_em","2021.11_sb","2022.03_em","2022.03_sb","2023.04_em","2023.04_sb"
"1",1,3608.31806212,42.54,"low mound","Kirk Mughara","2",NA,16,84,0,0,100,0,2,98,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,1,99,0,1,99,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"2",2,889.248610309,4.61,"-","ReS_1","5",NA,8,92,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,6,94,0,100,0,0,100,0,0,100,0,0,100,0,100,0,14,86,0,0,100,0,0,100,0,0,100,0,95,5,100,0,100,0,100,0,100,0,100,0
"3",3,940.965786397,6.17,"tell","Um Ruthah Tahtani","2",NA,3,23,74,0,26,74,0,25,75,28,72,0,26,74,0,28,72,28,72,0,28,72,28,72,0,29,71,0,28,72,0,26,74,28,72,0,33,67,0,28,72,0,28,72,0,30,70,30,70,30,70,26,74,48,52,29,71,51,49
"4",4,961.643378373,6.55,"tell","Tell Aushariye","1",NA,23,70,7,0,100,0,5,86,8,100,0,0,95,5,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,91,9,100,0,98,2,98,2,100,0,99,1
"5",5,434.02381865,1.27,"lower mound","Hammam Saghir N","2",NA,0,29,71,0,36,64,0,36,64,36,64,0,29,71,0,36,64,36,64,0,36,64,36,64,0,43,57,0,36,64,0,36,64,36,64,0,36,64,0,36,64,0,36,64,0,36,64,31,69,38,62,38,62,53,47,34,66,62,38
"6",6,1157.98882666,8.18,"-","QNR_10","2",NA,1,69,30,0,81,19,0,87,13,84,16,0,81,19,0,82,18,87,13,0,83,17,82,18,0,87,13,0,85,15,1,84,15,87,13,0,87,13,0,83,17,31,54,15,0,85,15,90,10,85,15,88,12,88,12,81,19,92,8
"7",7,695.291747985,2.43,"tell","Hammam Kebir","2",NA,0,28,72,0,36,64,0,40,60,44,56,0,40,60,0,40,60,44,56,0,44,56,44,56,0,44,56,0,40,60,0,40,60,44,56,0,52,48,0,40,60,0,40,60,0,48,52,44,56,37,63,48,52,53,47,40,60,68,32
"8",8,876.894607477,5.45,"tell","Tell Qadahiye","2","based only on Corona",0,0,100,0,0,100,5,0,95,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,13,87,0,100,13,87
"9",9,437.800234476,1.31,"fortress","Qara Qozak Fortress","1",NA,7,80,13,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,7,93,0,0,100,0,0,100,0,97,3,100,0,100,0,100,0,100,0,100,0
"10",10,483.240884177,1.43,"flat site","Sandaliye Kebir","2",NA,0,0,100,0,0,100,12,0,88,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"11",11,584.263089994,1.94,"-","QNR_14","2",NA,0,0,100,0,0,100,5,0,95,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"12",12,596.830109886,2.5,"-","Sandaliyeh Saghir Maqbara","2",NA,0,0,100,0,0,100,10,0,90,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"13",13,1359.12623048,9.22,"flat site","Khirbet Meshreq","2",NA,0,6,94,0,6,94,2,8,90,8,92,0,8,92,0,8,92,10,90,0,7,93,9,91,0,9,91,0,9,91,0,8,92,9,91,0,12,88,0,8,92,0,9,91,0,10,90,15,85,15,85,16,84,24,76,10,90,24,76
"14",14,461.865977525,1.5,"fortification","Qal'at Najm","1",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"15",15,617.265804062,2.82,"tell","Tell Nejem","2",NA,10,27,63,0,27,73,3,23,73,33,67,0,33,67,0,30,70,33,67,0,23,77,37,63,0,37,63,0,33,67,3,30,67,30,70,0,30,70,0,30,70,0,30,70,0,30,70,19,81,30,70,36,64,34,66,23,77,34,66
"16",16,462.198989323,1.45,"tell","Tell Jurn Kebir","2",NA,0,0,100,0,0,100,44,0,56,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,3,97
"17",17,411.675743353,1.27,"low mound","Al-Jermideh","2",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"18",18,893.572333459,5.58,"tell and lower town","Khirbet Seraisat","2",NA,0,100,0,0,98,2,0,100,0,100,0,0,98,2,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"19",19,795.722333828,4.43,"flat site","No Name_17","2",NA,17,83,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"20",20,472.566016404,1.59,"flat site?","Serai","2",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"21",21,1691.92303582,19.96,"tell + lower town","Yusef Pasha","1",NA,0,12,87,0,16,84,3,18,80,18,82,0,17,83,0,19,81,22,78,0,20,80,20,80,0,24,76,0,23,77,5,18,77,23,77,0,24,76,0,19,81,0,23,77,0,24,76,26,74,32,68,55,45,38,62,21,79,58,42
"22",22,2096.96332645,29.46,"tell","Tell Qitar","1",NA,1,54,45,1,59,39,63,27,9,58,42,6,55,39,0,62,38,62,38,5,57,38,63,37,0,65,35,0,63,37,3,59,38,63,37,12,55,33,5,60,34,36,36,28,1,64,35,64,36,67,33,78,22,68,32,65,35,98,2
"23",23,314.159265359,0.78,"sherd scatters","Jurn Kebir East","4",NA,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"24",24,1035.44968009,6.51,"tell and low mound","Jebel Ahmar","2",NA,1,23,76,0,28,72,1,27,72,24,76,0,28,72,0,28,72,27,73,0,30,70,28,72,0,30,70,0,30,70,1,27,72,30,70,0,31,69,0,31,69,0,30,70,0,31,69,34,66,37,63,40,60,43,57,31,69,55,45
"25",25,314.159265359,0.78,"-","Jerf el Ahmar","4",NA,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,75,25
"26",26,1431.31391586,12.52,"tell and lower town","Tell Bazi","1",NA,1,70,29,0,71,29,0,72,28,72,28,0,71,29,0,71,29,76,24,0,69,31,71,29,0,75,25,0,71,29,1,69,31,70,30,0,72,28,0,70,30,0,69,31,0,73,27,66,34,65,35,67,33,75,25,67,33,78,22
"27",27,517.085040658,2.04,"tell","Tell Banat","1",NA,0,9,91,0,0,100,17,0,83,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"28",28,486.310944393,1.68,"tell","Tell Saghir","1",NA,0,0,100,0,0,100,33,0,67,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"29",29,728.031662712,3.55,"tell","Tell el Kebir","1",NA,0,0,100,0,0,100,8,0,92,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"30",30,1887.06277098,25.92,"Low mound","Tell Banat village","1",NA,1,2,98,0,2,98,9,1,90,2,98,0,2,98,1,2,97,4,96,0,2,98,2,98,0,4,96,0,3,97,1,2,97,3,97,9,2,89,0,2,98,0,2,98,0,2,98,2,98,1,99,1,99,7,93,1,99,8,92
"31",31,3045.12926595,50.57,"village, necropole, fortification","Boujak","1",NA,15,61,24,1,75,24,6,69,25,77,23,0,79,21,0,77,23,79,21,1,77,22,78,22,0,80,20,0,80,20,0,77,23,78,22,30,58,12,9,72,19,41,45,14,46,36,18,73,27,78,22,83,17,78,22,76,24,86,14
"32",32,701.520944403,3.25,"tell","Tell Kosak Shamali","2",NA,11,61,28,0,61,39,0,67,33,69,31,0,69,31,0,69,31,69,31,0,69,31,72,28,0,81,19,0,72,28,3,69,28,75,25,0,78,22,0,69,31,0,72,28,0,75,25,83,17,82,18,93,7,91,9,78,22,85,15
"33",33,1903.39974905,14.77,"tell","Tell Qara Qozak","1",NA,1,4,95,0,4,96,3,5,91,6,94,0,5,95,0,7,93,6,94,0,7,93,5,95,0,6,94,0,7,93,0,6,94,7,93,0,7,93,0,7,93,0,7,93,0,7,93,11,89,9,91,10,90,21,79,7,93,19,81
"34",34,1045.17053687,5.89,"tell + necropole","Tell Dja'da Mughara","2",NA,0,94,6,0,96,4,0,97,3,99,1,0,97,3,0,96,4,97,3,0,96,4,99,1,0,99,1,0,97,3,0,96,4,96,4,0,97,3,0,96,4,0,96,4,0,97,3,89,11,90,10,90,10,97,3,92,8,99,1
"35",35,854.891634336,5.27,"tell","Tell Suleiman Shah","1",NA,2,35,63,0,45,55,0,47,53,50,50,0,52,48,0,58,42,60,40,0,63,37,55,45,0,62,38,0,63,37,3,57,40,63,37,0,65,35,0,60,40,0,60,40,0,63,37,71,29,75,25,76,24,82,18,62,38,86,14
"36",36,2193.44042927,24.28,"-","Qubbah","2",NA,1,52,46,0,56,44,0,60,40,61,39,0,58,42,0,59,41,62,38,0,60,40,60,40,0,62,38,0,63,37,0,61,39,64,36,0,63,37,0,60,39,0,60,40,0,64,36,58,42,63,37,63,37,74,26,61,39,73,27
"37",37,3519.77762719,71.99,"tell and lower town","Tell Ahmar","1",NA,0,30,69,0,31,69,4,35,61,36,64,0,35,65,0,39,61,40,60,0,42,58,38,62,0,42,58,0,41,59,0,41,59,44,56,0,46,55,0,35,65,0,46,55,0,45,55,52,48,49,51,49,51,55,45,36,64,59,41
"38",38,1320.52864738,10.02,"tell","Tell el Abr","2",NA,1,88,11,0,90,10,1,90,9,92,8,0,93,7,0,92,8,95,5,0,91,9,92,8,0,93,7,0,95,5,1,93,6,93,7,0,95,5,0,92,8,0,92,8,0,95,5,92,8,91,9,91,9,100,0,95,5,100,0
"39",39,1457.35724359,14.9,"tell","Tell Qumluq","1",NA,0,46,54,0,46,54,1,48,52,56,44,0,57,43,0,57,43,58,42,0,57,43,55,45,0,61,39,0,56,44,0,54,46,62,38,0,64,36,0,58,42,0,59,41,0,67,33,73,27,74,26,67,33,84,16,65,35,93,7
"40",40,1525.39379808,16.8,"tell and lower town","Tell Shioukh Fawqani","1",NA,0,98,2,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,99,1,100,0,100,0,100,0,100,0,100,0
"41",41,547.530520693,2.09,"low mound","Duluk (Aushariye)","3",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,36,64,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"42",42,314.159265359,0.78,"flat site","Wadi Amarna","4",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"43",43,393.294189646,1.09,"flat site","Mughar Seraisat","5",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"44",44,314.159265359,0.78,"flat site","Near Mughar Seraisat","4",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"45",45,314.159265359,0.78,"flat site","Khirbet Seraisat S","4",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"46",46,110.499526158,0.09,"flat site","Mishirfe-2","5",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"47",47,183.336352786,0.23,"low mound","Meshirfe","5",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"48",48,314.159265359,0.78,"flat site","Near LCP 15_1","4",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"49",49,314.159265359,0.78,"flat site","Near LCP 15_2","4",NA,0,100,0,0,100,0,11,89,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"50",50,314.159265359,0.78,"flat site","Near Kirk Mughara","4",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"51",51,392.58205392,0.98,"-","ReS_2","5",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"52",52,523.0270414,1.53,"-","ReS_3","ReS_3",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"53",53,314.159265359,0.78,"flat site","QNR_7","4",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"54",54,314.159265359,0.78,"rock-cut tombs","Rock-cut Tomb","4",NA,0,89,11,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"55",55,361.276680415,0.95,"-","Tannira Maqbara","2",NA,0,100,0,0,100,0,0,100,0,100,0,0,91,9,0,100,0,100,0,0,91,9,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,81,19,92,8,100,0,100,0,88,12,100,0
"56",56,314.159265359,0.78,"-","Khirbet el Matbukh","4",NA,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,8,92,0,100,0,8,92,8,92,0,17,83,0,8,92,8,0,92,8,92,0,8,92,0,0,100,0,0,100,0,0,100,0,100,26,74,100,0,16,84,0,100,84,16
"57",57,314.159265359,0.78,"-","Dakhne","4","we do not have data on this site",0,75,25,0,83,17,0,92,8,75,25,0,92,8,0,92,8,92,8,0,92,8,100,0,0,92,8,0,83,17,0,83,17,83,17,0,92,8,0,83,17,0,83,17,0,83,17,100,0,100,0,100,0,100,0,100,0,100,0
"58",58,314.159265359,0.78,"flat site","Hammam Saghir Spring","4",NA,0,89,11,0,89,11,0,100,0,89,11,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,89,11,100,0,0,100,0,0,100,0,0,89,11,0,100,0,90,10,90,10,90,10,100,0,95,5,100,0
"59",59,970.637680204,6.39,"flat site","Hammam Seghir","3",NA,0,97,3,0,99,1,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,96,4,100,0,100,0,100,0,99,1,100,0
"60",60,314.159265359,0.78,"tell","QNR_9","4",NA,12,75,12,0,100,0,0,100,0,100,0,0,88,12,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,68,32,84,16,84,16,95,5,84,16,100,0
"61",61,501.325198118,1.62,"-","ReS_4","3",NA,0,0,100,0,0,100,18,0,82,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"62",62,547.552013208,1.56,"flat site","ReS_5","3",NA,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"63",63,353.814183218,0.79,"low mound","ReS_6","3",NA,0,0,100,0,0,100,10,0,90,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"64",64,140.672051134,0.15,"mound","ReS_7","3",NA,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"65",65,478.060108118,1.07,"low mound","ReS_8","3",NA,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"66",66,521.872670819,1.73,"-","ReS_10","3",NA,0,0,100,0,0,100,26,0,74,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"67",67,916.365455804,5.74,"-","ReS_11","3",NA,0,0,100,0,0,100,6,0,94,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"68",68,1241.68104604,7.86,"tell","Tell Mresh","3",NA,1,0,99,0,0,100,12,0,88,0,100,1,0,99,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"69",69,432.122823561,1.37,"-","ReS_12","3",NA,0,0,100,0,0,100,12,0,88,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"70",70,484.918394053,1.31,"-","ReS_14","3",NA,0,0,100,0,0,100,14,0,86,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"71",71,492.101072467,1.6,"-","ReS_13","3",NA,0,0,100,0,0,100,6,0,94,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"72",72,308.62762135,0.67,"-","ReS_15","3",NA,100,0,0,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"73",73,299.786286056,0.62,"-","ReS_9","3",NA,0,0,100,0,0,100,12,0,88,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"74",74,980.513680416,5.49,"rock-cut necropole","Jebel Hammam","3",NA,0,69,31,0,81,19,0,75,25,85,15,0,85,15,0,90,10,86,14,0,88,12,86,14,0,90,10,0,86,14,0,86,14,86,14,0,90,10,0,83,17,0,83,17,0,85,15,69,31,86,14,80,20,81,19,81,19,90,10
"75",75,0,3.98,"tell","Tell Khamis","3",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"76",76,0,22.5,"tell","Tell Halula","3",NA,0,98,2,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"77",77,0,0.78,"-","Ausheriye West","4",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
